epoch,accuracy,loss,val_accuracy,val_loss
0,0.5131250023841858,0.7018926739692688,0.5199999809265137,0.692192018032074
1,0.5106250047683716,0.6931350231170654,0.5,0.6925044059753418
2,0.5393750071525574,0.6919094324111938,0.5774999856948853,0.6906639337539673
3,0.550000011920929,0.685862123966217,0.550000011920929,0.6854880452156067
4,0.578125,0.6778079271316528,0.5149999856948853,0.6863614916801453
5,0.590624988079071,0.669786810874939,0.6399999856948853,0.6545326113700867
6,0.6206250190734863,0.6550560593605042,0.6524999737739563,0.6478272080421448
7,0.6449999809265137,0.6320497393608093,0.6399999856948853,0.6467340588569641
8,0.6575000286102295,0.6386628150939941,0.6700000166893005,0.6320682764053345
9,0.6793749928474426,0.6085043549537659,0.612500011920929,0.6532416343688965
10,0.6662499904632568,0.6136020421981812,0.6775000095367432,0.6241378784179688
11,0.6837499737739563,0.5947659611701965,0.6600000262260437,0.620975136756897
12,0.7037500143051147,0.5866655111312866,0.6875,0.6063579320907593
13,0.6974999904632568,0.5770222544670105,0.6324999928474426,0.6494462490081787
14,0.7106249928474426,0.5670613050460815,0.5724999904632568,0.745728075504303
15,0.7049999833106995,0.5781562924385071,0.6850000023841858,0.5940262079238892
16,0.7049999833106995,0.5600035786628723,0.6949999928474426,0.5952246189117432
17,0.7006250023841858,0.5616669654846191,0.6899999976158142,0.5965406894683838
18,0.7262499928474426,0.5399909019470215,0.6875,0.5901408195495605
19,0.7356250286102295,0.528590977191925,0.6825000047683716,0.6189067959785461
20,0.7300000190734863,0.5428906083106995,0.6949999928474426,0.5840791463851929
21,0.7475000023841858,0.5097092390060425,0.699999988079071,0.5813585519790649
22,0.7518749833106995,0.5143914222717285,0.6899999976158142,0.5732719302177429
23,0.7493749856948853,0.5129715800285339,0.6949999928474426,0.5902833342552185
24,0.7537500262260437,0.5085612535476685,0.6875,0.5956657528877258
25,0.7506250143051147,0.5091414451599121,0.6949999928474426,0.5664850473403931
26,0.7818750143051147,0.4697650671005249,0.6899999976158142,0.5779362320899963
27,0.7768750190734863,0.47123268246650696,0.6850000023841858,0.6124964356422424
28,0.7743750214576721,0.4849250018596649,0.6825000047683716,0.5971407890319824
29,0.7674999833106995,0.47172412276268005,0.6949999928474426,0.5704635381698608
30,0.7749999761581421,0.47159653902053833,0.6825000047683716,0.5755874514579773
31,0.784375011920929,0.44744521379470825,0.6974999904632568,0.5726108551025391
32,0.7856249809265137,0.44340142607688904,0.6850000023841858,0.6293807625770569
33,0.7868750095367432,0.4592820107936859,0.6499999761581421,0.7223266363143921
34,0.7925000190734863,0.4519073963165283,0.7300000190734863,0.5971757769584656
35,0.7912499904632568,0.44873568415641785,0.7099999785423279,0.5637989640235901
36,0.8081250190734863,0.4316330850124359,0.7024999856948853,0.596642017364502
37,0.815625011920929,0.41504696011543274,0.6974999904632568,0.5789966583251953
38,0.8231250047683716,0.40234649181365967,0.7099999785423279,0.591320812702179
39,0.8187500238418579,0.40818092226982117,0.7350000143051147,0.5844848155975342
40,0.8106250166893005,0.41138631105422974,0.7174999713897705,0.6033878922462463
41,0.8149999976158142,0.4028067886829376,0.7275000214576721,0.5719553828239441
42,0.8218749761581421,0.3835495114326477,0.7049999833106995,0.6405311822891235
43,0.8331249952316284,0.3780674636363983,0.7124999761581421,0.5960867404937744
44,0.8381249904632568,0.35907965898513794,0.6825000047683716,0.7225513458251953
45,0.828125,0.38914403319358826,0.7250000238418579,0.5782071948051453
46,0.8362500071525574,0.3617513179779053,0.6775000095367432,0.6356737017631531
47,0.8243749737739563,0.38242411613464355,0.7225000262260437,0.5620602369308472
48,0.8568750023841858,0.3269670009613037,0.7350000143051147,0.5776262879371643
49,0.84375,0.3573565185070038,0.7250000238418579,0.6076010465621948
50,0.856249988079071,0.3389430344104767,0.6924999952316284,0.620145857334137
51,0.8575000166893005,0.32516220211982727,0.7250000238418579,0.5999061465263367
52,0.8550000190734863,0.3297877907752991,0.7275000214576721,0.5964374542236328
53,0.8737499713897705,0.2999802827835083,0.7024999856948853,0.607022762298584
54,0.8693749904632568,0.2995697259902954,0.7300000190734863,0.6146671772003174
55,0.8762500286102295,0.29737818241119385,0.7174999713897705,0.619733452796936
56,0.8806250095367432,0.28931960463523865,0.699999988079071,0.6457005143165588
57,0.871874988079071,0.30262327194213867,0.7124999761581421,0.6503085494041443
58,0.8799999952316284,0.28217533230781555,0.7200000286102295,0.5901778340339661
59,0.8818749785423279,0.276632696390152,0.7149999737739563,0.7102417945861816
