Country Code,gdpp,gdp_growth,income,imports,exports,health,child_mort,total_fer,life_expec
MDV,10561.61,6.88,8433.13,78.45,69.45,8.04,7.00,1.84,78.92
MEX,9950.45,-0.18,7749.90,39.07,38.82,5.43,14.10,2.10,75.05
MKD,6070.39,3.91,4870.41,76.17,62.41,7.25,6.80,1.49,75.80
MLI,879.04,4.76,797.52,37.95,25.71,3.89,94.20,5.79,59.31
MMR,1271.11,6.75,1269.09,30.30,30.39,4.68,45.20,2.14,67.13
MNE,8910.65,4.06,7628.68,65.00,43.85,8.33,2.60,1.75,76.88
MNG,4404.85,5.60,3151.47,65.18,59.22,3.77,16.00,2.87,69.87
MOZ,506.64,2.31,381.87,75.08,40.76,7.83,72.90,4.78,60.85
MRT,1743.30,5.76,1408.72,50.00,39.18,3.30,73.00,4.50,64.92
MUS,11097.17,3.01,11071.05,53.67,38.47,6.20,16.00,1.40,74.24
MYS,11432.82,4.44,8223.63,57.73,65.26,3.83,8.60,1.98,76.16
NAM,5009.69,-0.89,4201.82,47.03,36.44,8.50,41.90,3.34,63.71
NER,554.10,5.94,526.35,26.29,11.42,5.67,80.30,6.82,62.42
NGA,2229.86,2.21,1779.19,19.80,14.22,3.03,116.90,5.32,54.69
NIC,1926.70,-3.67,1718.56,49.53,45.04,8.40,16.60,2.38,74.48
NLD,52476.27,1.96,43778.15,72.73,82.54,10.13,4.10,1.57,82.01
NOR,75719.75,0.75,60776.13,34.78,36.26,10.52,2.30,1.53,82.91
NPL,1194.96,6.66,1009.04,41.47,7.78,4.45,29.30,1.88,70.78
NZL,42755.22,1.63,34344.57,27.10,26.99,9.74,4.90,1.72,81.71
OMN,17700.70,-1.13,9188.76,36.98,49.49,4.07,11.10,2.84,77.86
PAK,1288.56,1.14,1186.31,20.26,10.09,3.38,67.30,3.45,67.27
PAN,15774.25,2.98,13274.44,43.77,41.21,7.58,14.80,2.44,78.51
PER,7027.61,2.20,5955.76,22.89,23.90,5.22,13.30,2.23,76.74
PHL,3485.34,6.12,3471.84,40.46,28.38,4.08,27.10,2.53,71.23
POL,15732.20,4.74,13254.82,50.64,55.40,6.45,4.40,1.42,77.86
PRT,23330.82,2.68,18590.62,43.06,43.51,9.53,3.40,1.42,80.68
PRY,5380.96,-0.40,4885.12,35.16,36.20,7.17,19.50,2.40,74.25
QAT,62276.43,0.69,45338.17,37.86,52.19,2.91,6.10,1.85,80.23
ROU,12899.35,4.19,10873.69,44.50,40.38,5.74,7.10,1.76,75.46
RUS,11497.65,2.03,8940.21,20.91,28.54,5.65,5.80,1.50,73.08
RWA,820.15,9.46,666.48,36.12,21.81,6.41,41.90,3.99,69.02
SAU,23139.80,0.33,19160.09,27.61,36.05,5.69,7.30,2.27,75.13
SDN,610.93,-2.18,552.51,0.59,0.63,4.57,58.40,4.35,65.31
SEN,1430.15,4.40,1276.68,38.52,24.31,4.13,39.70,4.56,67.94
SGP,65640.71,1.35,48343.60,147.63,175.89,4.08,2.40,1.14,83.50
SLB,2344.05,1.20,1974.37,47.70,37.46,4.77,20.00,4.36,73.00
SLE,521.75,5.25,476.38,37.94,18.25,8.75,111.90,4.17,54.70
SLV,4167.73,2.38,3398.08,46.30,29.68,7.17,13.30,2.02,73.32
SRB,7417.20,4.33,5770.77,60.94,51.01,8.67,5.70,1.52,75.69
SVK,19303.55,2.61,15649.87,91.87,92.26,6.96,5.80,1.56,77.47
SVN,25942.95,3.25,20746.32,75.31,83.96,8.52,2.30,1.61,81.28
SWE,51939.43,1.99,43998.42,43.62,47.81,10.87,2.70,1.70,82.96
SWZ,3915.64,2.61,2920.07,42.97,45.65,6.78,48.00,2.96,60.19
SYC,16213.48,1.19,14587.43,95.15,83.51,5.19,14.30,2.34,73.94
TCD,709.54,3.25,524.18,37.83,36.74,4.35,113.50,5.65,54.24
TGO,893.35,5.46,616.76,31.31,23.06,5.73,66.50,4.26,61.04
THA,7817.01,2.27,6069.02,50.14,59.49,3.79,9.00,1.51,77.15
TJK,890.54,7.40,947.95,41.07,14.98,7.11,33.30,3.56,71.10
TLS,1583.71,19.54,1418.53,54.63,27.74,7.16,43.70,3.94,69.50
TON,4903.01,0.73,4707.82,65.16,21.96,4.98,11.70,3.52,70.91
TUR,9121.52,0.89,7585.04,30.01,32.60,4.34,10.10,2.06,77.69
TZA,1085.88,5.80,967.43,16.95,16.01,3.83,50.50,4.83,65.46
UGA,798.59,6.44,669.37,22.25,17.11,3.83,45.30,4.82,63.37
UKR,3661.46,3.20,3302.10,49.28,41.23,7.10,8.40,1.23,71.83
URY,17688.02,0.35,13626.19,21.86,27.75,9.35,6.70,1.96,77.91
USA,65279.53,2.16,55419.39,14.54,11.76,16.77,6.40,1.71,78.79
UZB,1784.01,5.71,1435.19,44.44,28.42,5.62,14.80,2.79,71.72
VNM,2715.28,7.02,2162.50,104.70,106.80,5.25,21.10,2.05,75.40
VUT,3116.30,3.91,2862.24,49.90,41.10,3.36,25.60,3.74,70.47
WSM,4322.87,4.38,3658.46,51.75,37.72,6.36,17.40,3.83,73.32
ZMB,1305.00,1.44,1049.04,34.16,34.64,5.31,64.10,4.56,63.89
ZWE,1316.74,-6.14,1208.28,32.03,31.25,7.70,54.20,3.53,61.49
